# Temperatura_=_20.0
# Concentracion g/m^3_=_700.0
# C_Vs_to_Am_M_A/Vsm_=_25649819763.59163
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_312867.29943939176
# Promedio de 15 ciclos

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-6.583489e-09	-1.791563e-09	-5.689956e+01	-4.213658e+01
1.000000e-08	-6.581057e-09	-1.762921e-09	-5.687854e+01	-4.211432e+01
2.000000e-08	-6.576245e-09	-1.753134e-09	-5.683695e+01	-4.209875e+01
3.000000e-08	-6.569238e-09	-1.766065e-09	-5.677639e+01	-4.209152e+01
4.000000e-08	-6.559899e-09	-1.762944e-09	-5.669568e+01	-4.209004e+01
5.000000e-08	-6.548080e-09	-1.759157e-09	-5.659353e+01	-4.208772e+01
6.000000e-08	-6.533680e-09	-1.780454e-09	-5.646907e+01	-4.207550e+01
7.000000e-08	-6.516736e-09	-1.794873e-09	-5.632263e+01	-4.204445e+01
8.000000e-08	-6.497603e-09	-1.774892e-09	-5.615728e+01	-4.198867e+01
9.000000e-08	-6.476124e-09	-1.670625e-09	-5.597164e+01	-4.190776e+01
1.000000e-07	-6.451634e-09	-1.593701e-09	-5.575998e+01	-4.180819e+01
1.100000e-07	-6.424111e-09	-1.694069e-09	-5.552211e+01	-4.170291e+01
1.200000e-07	-6.394075e-09	-1.769367e-09	-5.526251e+01	-4.160929e+01
1.300000e-07	-6.361792e-09	-1.651362e-09	-5.498350e+01	-4.154569e+01
1.400000e-07	-6.327233e-09	-1.611572e-09	-5.468482e+01	-4.152743e+01
1.500000e-07	-6.290691e-09	-1.752051e-09	-5.436899e+01	-4.156313e+01
1.600000e-07	-6.252411e-09	-1.774352e-09	-5.403815e+01	-4.165236e+01
1.700000e-07	-6.211885e-09	-1.634626e-09	-5.368789e+01	-4.178511e+01
1.800000e-07	-6.168796e-09	-1.618888e-09	-5.331549e+01	-4.194342e+01
1.900000e-07	-6.123481e-09	-1.717184e-09	-5.292383e+01	-4.210470e+01
2.000000e-07	-6.075836e-09	-1.630373e-09	-5.251206e+01	-4.224600e+01
2.100000e-07	-6.025496e-09	-1.547466e-09	-5.207698e+01	-4.234829e+01
2.200000e-07	-5.972555e-09	-1.642813e-09	-5.161943e+01	-4.239976e+01
2.300000e-07	-5.917169e-09	-1.596038e-09	-5.114074e+01	-4.239735e+01
2.400000e-07	-5.859470e-09	-1.496664e-09	-5.064206e+01	-4.234631e+01
2.500000e-07	-5.799469e-09	-1.595452e-09	-5.012349e+01	-4.225802e+01
2.600000e-07	-5.737227e-09	-1.602810e-09	-4.958555e+01	-4.214658e+01
2.700000e-07	-5.672849e-09	-1.468354e-09	-4.902914e+01	-4.202524e+01
2.800000e-07	-5.606177e-09	-1.501392e-09	-4.845291e+01	-4.190339e+01
2.900000e-07	-5.537250e-09	-1.614598e-09	-4.785719e+01	-4.178487e+01
3.000000e-07	-5.466230e-09	-1.538782e-09	-4.724338e+01	-4.166783e+01
3.100000e-07	-5.392976e-09	-1.460928e-09	-4.661027e+01	-4.154608e+01
3.200000e-07	-5.317343e-09	-1.533045e-09	-4.595659e+01	-4.141132e+01
3.300000e-07	-5.239370e-09	-1.545685e-09	-4.528269e+01	-4.125567e+01
3.400000e-07	-5.159137e-09	-1.491084e-09	-4.458926e+01	-4.107369e+01
3.500000e-07	-5.076846e-09	-1.481597e-09	-4.387804e+01	-4.086351e+01
3.600000e-07	-4.992773e-09	-1.512708e-09	-4.315141e+01	-4.062675e+01
3.700000e-07	-4.907002e-09	-1.488618e-09	-4.241012e+01	-4.036754e+01
3.800000e-07	-4.819441e-09	-1.435399e-09	-4.165334e+01	-4.009089e+01
3.900000e-07	-4.730051e-09	-1.455778e-09	-4.088077e+01	-3.980113e+01
4.000000e-07	-4.638809e-09	-1.457031e-09	-4.009219e+01	-3.950072e+01
4.100000e-07	-4.545787e-09	-1.409707e-09	-3.928822e+01	-3.918985e+01
4.200000e-07	-4.451098e-09	-1.417998e-09	-3.846985e+01	-3.886685e+01
4.300000e-07	-4.354704e-09	-1.438315e-09	-3.763674e+01	-3.852910e+01
4.400000e-07	-4.256557e-09	-1.391939e-09	-3.678848e+01	-3.817421e+01
4.500000e-07	-4.156657e-09	-1.349643e-09	-3.592506e+01	-3.780086e+01
4.600000e-07	-4.055158e-09	-1.356763e-09	-3.504783e+01	-3.740923e+01
4.700000e-07	-3.952108e-09	-1.346657e-09	-3.415720e+01	-3.700072e+01
4.800000e-07	-3.847442e-09	-1.316709e-09	-3.325259e+01	-3.657717e+01
4.900000e-07	-3.741225e-09	-1.313300e-09	-3.233459e+01	-3.613991e+01
5.000000e-07	-3.633529e-09	-1.308086e-09	-3.140379e+01	-3.568889e+01
5.100000e-07	-3.524423e-09	-1.273998e-09	-3.046082e+01	-3.522234e+01
5.200000e-07	-3.413956e-09	-1.245736e-09	-2.950608e+01	-3.473698e+01
5.300000e-07	-3.302125e-09	-1.231700e-09	-2.853954e+01	-3.422874e+01
5.400000e-07	-3.188950e-09	-1.207468e-09	-2.756140e+01	-3.369381e+01
5.500000e-07	-3.074446e-09	-1.181997e-09	-2.657178e+01	-3.312962e+01
5.600000e-07	-2.958629e-09	-1.166413e-09	-2.557080e+01	-3.253529e+01
5.700000e-07	-2.841612e-09	-1.148932e-09	-2.455945e+01	-3.191162e+01
5.800000e-07	-2.723476e-09	-1.116779e-09	-2.353842e+01	-3.126031e+01
5.900000e-07	-2.604278e-09	-1.084735e-09	-2.250823e+01	-3.058292e+01
6.000000e-07	-2.484108e-09	-1.061560e-09	-2.146963e+01	-2.987964e+01
6.100000e-07	-2.362974e-09	-1.033462e-09	-2.042269e+01	-2.914851e+01
6.200000e-07	-2.240888e-09	-1.007140e-09	-1.936753e+01	-2.838523e+01
6.300000e-07	-2.117914e-09	-9.807769e-10	-1.830470e+01	-2.758370e+01
6.400000e-07	-1.994068e-09	-9.448622e-10	-1.723432e+01	-2.673712e+01
6.500000e-07	-1.869351e-09	-9.025317e-10	-1.615643e+01	-2.583933e+01
6.600000e-07	-1.743933e-09	-8.630960e-10	-1.507246e+01	-2.488588e+01
6.700000e-07	-1.617957e-09	-8.276313e-10	-1.398369e+01	-2.387441e+01
6.800000e-07	-1.491361e-09	-7.841488e-10	-1.288955e+01	-2.280420e+01
6.900000e-07	-1.364113e-09	-7.449533e-10	-1.178977e+01	-2.167479e+01
7.000000e-07	-1.236331e-09	-7.132780e-10	-1.068538e+01	-2.048414e+01
7.100000e-07	-1.108098e-09	-6.678427e-10	-9.577094e+00	-1.922683e+01
7.200000e-07	-9.794241e-10	-6.066802e-10	-8.464995e+00	-1.789296e+01
7.300000e-07	-8.504031e-10	-5.407348e-10	-7.349897e+00	-1.646823e+01
7.400000e-07	-7.211087e-10	-4.748245e-10	-6.232436e+00	-1.493548e+01
7.500000e-07	-5.915205e-10	-4.113131e-10	-5.112436e+00	-1.327767e+01
7.600000e-07	-4.617292e-10	-3.529440e-10	-3.990681e+00	-1.148168e+01
7.700000e-07	-3.318192e-10	-2.895102e-10	-2.867901e+00	-9.542217e+00
7.800000e-07	-2.017760e-10	-2.120008e-10	-1.743969e+00	-7.465011e+00
7.900000e-07	-7.164240e-11	-1.279361e-10	-6.192550e-01	-5.268499e+00
8.000000e-07	5.850989e-11	-3.661016e-11	5.056201e-01	-2.983453e+00
8.100000e-07	1.886615e-10	6.733864e-11	1.630489e+00	-6.505588e-01
8.200000e-07	3.187555e-10	1.694675e-10	2.754860e+00	1.683754e+00
8.300000e-07	4.486947e-10	2.561857e-10	3.877894e+00	3.972471e+00
8.400000e-07	5.784824e-10	3.296359e-10	4.999618e+00	6.173242e+00
8.500000e-07	7.081207e-10	4.006315e-10	6.120051e+00	8.252773e+00
8.600000e-07	8.374781e-10	4.725095e-10	7.238056e+00	1.018964e+01
8.700000e-07	9.664567e-10	5.402834e-10	8.352788e+00	1.197517e+01
8.800000e-07	1.095066e-09	6.052255e-10	9.464324e+00	1.361229e+01
8.900000e-07	1.223300e-09	6.665536e-10	1.057263e+01	1.511295e+01
9.000000e-07	1.351045e-09	7.232032e-10	1.167670e+01	1.649454e+01
9.100000e-07	1.478177e-09	7.733152e-10	1.277546e+01	1.777617e+01
9.200000e-07	1.604703e-09	8.147980e-10	1.386901e+01	1.897557e+01
9.300000e-07	1.730665e-09	8.528784e-10	1.495767e+01	2.010689e+01
9.400000e-07	1.856063e-09	8.932562e-10	1.604145e+01	2.117981e+01
9.500000e-07	1.980805e-09	9.397560e-10	1.711957e+01	2.219982e+01
9.600000e-07	2.104743e-09	9.819109e-10	1.819074e+01	2.316926e+01
9.700000e-07	2.227833e-09	1.011389e-09	1.925458e+01	2.408884e+01
9.800000e-07	2.350086e-09	1.037528e-09	2.031118e+01	2.495912e+01
9.900000e-07	2.471481e-09	1.066963e-09	2.136037e+01	2.578158e+01
