# Configuracion:
# Concentracion g/m^3_=_700.0
# C_Vs_to_Am_M_A/Vsm_=_25649819763.59163
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_ref_Hz_=_312870.9685160719
# 
Resultados:
# tau_s_=_(6.80+/-0.94)e+01
# dphi_rad_=_6.42+/-0.02
# SAR_W/g_=_670.10+/-82.04
# Hc_kA/m_=_9.28+/-0.48
# Mr_A/m_=_13.90+/-0.71
# Suceptibilidad_a_M=0_=_0.0018+/-0.0000
Nombre_archivo	Time_m_(s)	Temperatura_(ºC)	Mr_(A/m)	Hc_(kA/m)	Campo_max_(A/m)	Mag_max_(A/m)	f0	mag0	dphi0	SAR_(W/g)	Tau_(ns)	N	xi_M_0
300kHz_150dA_100Mss_bobN5LB97OHVS0010.txt		20.00	14.28	9.64	57041.50	42.40	3.128492e+05	8.402346e+00	6.431794e+00	730.20	76.157880	4475	1.750e-03
300kHz_150dA_100Mss_bobN5LB97OHVS0011.txt		20.00	13.35	8.98	57041.50	44.27	3.128492e+05	8.618924e+00	6.407500e+00	627.26	63.565959	4475	1.727e-03
300kHz_150dA_100Mss_bobN5LB97OHVS0012.txt		20.00	14.25	9.16	57041.50	47.61	3.128492e+05	9.276976e+00	6.415566e+00	718.71	67.737732	4475	1.795e-03
300kHz_150dA_100Mss_bobN5LB97OHVS0015.txt		20.00	15.54	10.18	57041.50	44.41	3.128492e+05	8.563180e+00	6.453898e+00	853.86	87.694758	4475	1.804e-03
300kHz_150dA_100Mss_bobN5LB97OHVS0016.txt		20.00	14.27	9.95	57041.50	39.43	3.128492e+05	7.808085e+00	6.437888e+00	706.16	79.330209	4475	1.703e-03
300kHz_150dA_100Mss_bobN5LB97OHVS0017.txt		20.00	14.33	9.29	57041.50	46.61	3.128492e+05	9.061379e+00	6.417351e+00	711.42	68.661702	4475	1.782e-03
300kHz_150dA_100Mss_bobN5LB97OHVS0018.txt		20.00	15.09	9.85	57041.50	44.57	3.128492e+05	8.692266e+00	6.443096e+00	812.37	82.046195	4475	1.804e-03
300kHz_150dA_100Mss_bobN5LB97OHVS0019.txt		20.00	14.12	9.83	57041.50	40.21	3.128492e+05	7.959279e+00	6.433509e+00	699.61	77.050134	4475	1.719e-03
300kHz_150dA_100Mss_bobN5LB97OHVS0020.txt		20.00	13.98	9.24	57041.50	44.80	3.128492e+05	8.766181e+00	6.416175e+00	682.25	68.052092	4475	1.790e-03
300kHz_150dA_100Mss_bobN5LB97OHVS0021.txt		20.00	14.14	9.15	57041.50	48.24	3.128492e+05	9.295808e+00	6.414413e+00	713.94	67.141134	4475	1.794e-03
300kHz_150dA_100Mss_bobN5LB97OHVS0022.txt		20.00	13.91	9.04	57041.50	46.58	3.128492e+05	9.047863e+00	6.408491e+00	663.70	64.077492	4475	1.769e-03
300kHz_150dA_100Mss_bobN5LB97OHVS0023.txt		20.00	13.08	8.86	57041.50	44.79	3.128492e+05	8.627574e+00	6.394802e+00	564.04	57.015584	4475	1.734e-03
300kHz_150dA_100Mss_bobN5LB97OHVS0024.txt		20.00	13.16	9.19	57041.50	41.99	3.128492e+05	8.167857e+00	6.402605e+00	571.14	61.038006	4475	1.676e-03
300kHz_150dA_100Mss_bobN5LB97OHVS0025.txt		20.00	13.99	9.70	57041.50	40.69	3.128492e+05	8.009086e+00	6.430520e+00	690.10	75.495241	4475	1.734e-03
300kHz_150dA_100Mss_bobN5LB97OHVS0026.txt		20.00	14.08	8.96	57041.50	48.16	3.128492e+05	9.309374e+00	6.408121e+00	680.88	63.886585	4475	1.819e-03
300kHz_150dA_100Mss_bobN5LB97OHVS0027.txt		20.00	12.88	9.37	57041.50	38.08	3.128492e+05	7.445512e+00	6.410057e+00	552.95	64.887403	4475	1.631e-03
300kHz_150dA_100Mss_bobN5LB97OHVS0028.txt		20.00	12.59	8.39	57041.50	46.68	3.128492e+05	8.953454e+00	6.384551e+00	531.78	51.741108	4475	1.747e-03
300kHz_150dA_100Mss_bobN5LB97OHVS0030.txt		20.00	13.22	8.48	57041.50	49.27	3.128492e+05	9.425807e+00	6.387662e+00	576.96	53.340854	4475	1.826e-03
300kHz_150dA_100Mss_bobN5LB97OHVS0031.txt		20.00	13.42	8.70	57041.50	48.66	3.128492e+05	9.358694e+00	6.395597e+00	616.18	57.425096	4475	1.805e-03
300kHz_150dA_100Mss_bobN5LB97OHVS0032.txt		20.00	14.24	9.64	57041.50	41.75	3.128492e+05	8.232822e+00	6.428239e+00	698.47	74.310140	4475	1.758e-03
