# 241209_13:17:43.177633
t	CH1	CH2
0.000000e+00	1.101483e-02	1.264341e+01
1.000000e-08	-6.529858e-03	1.269702e+01
2.000000e-08	-3.618060e-04	1.273870e+01
3.000000e-08	3.461335e-03	1.279131e+01
4.000000e-08	8.936419e-04	1.279134e+01
5.000000e-08	5.210393e-04	1.282494e+01
6.000000e-08	1.100497e-03	1.290497e+01
7.000000e-08	6.760103e-04	1.293807e+01
8.000000e-08	-2.348051e-03	1.293910e+01
9.000000e-08	8.812048e-03	1.292810e+01
1.000000e-07	4.027271e-03	1.290865e+01
1.100000e-07	-5.284654e-03	1.294709e+01
1.200000e-07	-2.455249e-03	1.294862e+01
1.300000e-07	3.082324e-03	1.294962e+01
1.400000e-07	5.998880e-03	1.289809e+01
1.500000e-07	1.309935e-03	1.289754e+01
1.600000e-07	1.968634e-03	1.287650e+01
1.700000e-07	5.701346e-03	1.289494e+01
1.800000e-07	2.454437e-03	1.280235e+01
1.900000e-07	8.580992e-04	1.276184e+01
2.000000e-07	6.475056e-04	1.270775e+01
2.100000e-07	2.022150e-04	1.270662e+01
2.200000e-07	4.780560e-03	1.263236e+01
2.300000e-07	6.951906e-03	1.258168e+01
2.400000e-07	7.361367e-03	1.251807e+01
2.500000e-07	4.082487e-04	1.243689e+01
2.600000e-07	-7.165549e-04	1.245178e+01
2.700000e-07	2.252703e-03	1.229818e+01
2.800000e-07	-1.087772e-03	1.218392e+01
2.900000e-07	-2.749471e-03	1.215877e+01
3.000000e-07	-5.867544e-04	1.201186e+01
3.100000e-07	6.254610e-03	1.197173e+01
3.200000e-07	6.260008e-03	1.187332e+01
3.300000e-07	-6.696825e-04	1.173970e+01
3.400000e-07	-2.614828e-03	1.165544e+01
3.500000e-07	-4.591962e-04	1.151812e+01
3.600000e-07	-5.806092e-05	1.133278e+01
3.700000e-07	-2.172751e-03	1.123439e+01
3.800000e-07	-4.501953e-03	1.109702e+01
3.900000e-07	-2.393543e-03	1.092173e+01
4.000000e-07	2.492675e-03	1.089539e+01
4.100000e-07	2.212953e-03	1.070052e+01
4.200000e-07	-3.516977e-03	1.054918e+01
4.300000e-07	-4.435636e-03	1.042236e+01
4.400000e-07	-1.634811e-03	1.028594e+01
4.500000e-07	-1.873103e-03	1.012810e+01
4.600000e-07	-3.318168e-03	9.950179e+00
4.700000e-07	-3.924386e-03	9.832729e+00
4.800000e-07	-3.725135e-03	9.622286e+00
4.900000e-07	-8.084267e-04	9.453862e+00
5.000000e-07	-1.944950e-03	9.305495e+00
5.100000e-07	-4.388389e-03	9.079999e+00
5.200000e-07	-4.141831e-03	8.919575e+00
5.300000e-07	-4.049561e-03	8.769050e+00
5.400000e-07	-2.622336e-03	8.559625e+00
5.500000e-07	-4.282926e-03	8.400631e+00
5.600000e-07	-3.277498e-03	8.191179e+00
5.700000e-07	-2.133669e-03	7.970653e+00
5.800000e-07	-3.403400e-03	7.762054e+00
5.900000e-07	-3.911747e-03	7.540601e+00
6.000000e-07	-3.207031e-03	7.349047e+00
6.100000e-07	-5.462700e-03	7.146945e+00
6.200000e-07	-4.529859e-03	6.916969e+00
6.300000e-07	-3.234894e-03	6.697446e+00
6.400000e-07	-2.129830e-03	6.535992e+00
6.500000e-07	-4.057631e-03	6.265390e+00
6.600000e-07	-5.604398e-03	6.064317e+00
6.700000e-07	-3.261167e-03	5.833287e+00
6.800000e-07	-4.316006e-03	5.633262e+00
6.900000e-07	-5.285641e-03	5.401128e+00
7.000000e-07	-4.868998e-03	5.139471e+00
7.100000e-07	-3.486580e-03	4.832711e+00
7.200000e-07	-2.852401e-03	4.571501e+00
7.300000e-07	-3.405494e-03	4.430674e+00
7.400000e-07	-5.269209e-03	4.137894e+00
7.500000e-07	-6.235338e-03	3.905313e+00
7.600000e-07	-3.078972e-03	3.653139e+00
7.700000e-07	-2.585786e-03	3.435634e+00
7.800000e-07	-5.311300e-03	3.220031e+00
7.900000e-07	-5.795013e-03	2.937447e+00
8.000000e-07	-4.295426e-03	2.730472e+00
8.100000e-07	-3.572246e-03	2.432308e+00
8.200000e-07	-3.899742e-03	2.201084e+00
8.300000e-07	-4.880435e-03	1.970552e+00
8.400000e-07	-6.105086e-03	1.789446e+00
8.500000e-07	-3.786591e-03	1.446287e+00
8.600000e-07	-3.093670e-03	1.233078e+00
8.700000e-07	-4.739339e-03	8.969234e-01
8.800000e-07	-5.269266e-03	6.947394e-01
8.900000e-07	-2.191857e-03	4.416317e-01
9.000000e-07	7.732863e-04	1.621002e-01
9.100000e-07	8.165588e-03	-8.265395e-02
9.200000e-07	3.383143e-02	-2.937131e-01
9.300000e-07	3.171057e-03	-4.952591e-01
9.400000e-07	-1.632922e-02	-7.860173e-01
9.500000e-07	1.212646e-02	-9.578657e-01
9.600000e-07	1.102141e-02	-1.180476e+00
9.700000e-07	-2.574954e-02	-1.464686e+00
9.800000e-07	2.202385e-02	-1.683158e+00
9.900000e-07	1.468582e-01	-1.853658e+00
1.000000e-06	2.247990e-01	-2.093783e+00
1.010000e-06	-1.387523e-01	-2.459782e+00
1.020000e-06	-2.194536e-01	-2.860125e+00
1.030000e-06	1.268658e-01	-3.136283e+00
1.040000e-06	6.099928e-02	-3.345287e+00
1.050000e-06	-2.316953e-01	-3.505838e+00
1.060000e-06	-3.849404e-02	-3.630653e+00
1.070000e-06	2.295687e-01	-3.768546e+00
1.080000e-06	-1.042439e-01	-4.093334e+00
1.090000e-06	-1.290503e-01	-4.327965e+00
1.100000e-06	2.249329e-01	-4.493290e+00
1.110000e-06	-3.873014e-02	-4.780526e+00
1.120000e-06	-1.736528e-01	-5.020674e+00
1.130000e-06	2.242370e-01	-5.272332e+00
1.140000e-06	8.613347e-03	-5.508445e+00
1.150000e-06	-1.707484e-01	-5.726968e+00
1.160000e-06	1.958220e-01	-5.990596e+00
1.170000e-06	1.429958e-01	-6.187623e+00
1.180000e-06	-1.349788e-01	-6.422203e+00
1.190000e-06	-1.873293e-01	-6.642758e+00
1.200000e-06	1.287253e-01	-6.893307e+00
1.210000e-06	4.270455e-02	-7.062962e+00
1.220000e-06	-1.359772e-01	-7.326020e+00
1.230000e-06	1.085502e-01	-7.506020e+00
1.240000e-06	6.634703e-02	-7.697123e+00
1.250000e-06	-3.023289e-02	-7.977651e+00
1.260000e-06	-1.388912e-01	-8.188627e+00
1.270000e-06	2.824973e-02	-8.359073e+00
1.280000e-06	1.022824e-01	-8.584944e+00
1.290000e-06	-1.266837e-01	-8.789647e+00
1.300000e-06	5.872333e-02	-8.936546e+00
1.310000e-06	9.392931e-02	-9.066965e+00
1.320000e-06	-7.936878e-02	-9.274937e+00
1.330000e-06	-5.349063e-02	-9.442811e+00
1.340000e-06	4.116192e-02	-9.653307e+00
1.350000e-06	-7.120198e-03	-9.779125e+00
1.360000e-06	-5.296662e-02	-9.957523e+00
1.370000e-06	6.063427e-02	-1.011639e+01
1.380000e-06	2.900592e-02	-1.023386e+01
1.390000e-06	-2.618399e-02	-1.044180e+01
1.400000e-06	-2.298356e-02	-1.056708e+01
1.410000e-06	3.480415e-03	-1.073649e+01
1.420000e-06	-2.052044e-02	-1.087236e+01
1.430000e-06	-2.391275e-02	-1.095820e+01
1.440000e-06	2.676356e-02	-1.108699e+01
1.450000e-06	1.329008e-02	-1.127346e+01
1.460000e-06	-5.001426e-04	-1.137823e+01
1.470000e-06	-1.967092e-02	-1.148704e+01
1.480000e-06	7.500367e-03	-1.162189e+01
1.490000e-06	-1.372278e-02	-1.171865e+01
1.500000e-06	-2.567993e-02	-1.188396e+01
1.510000e-06	1.688621e-02	-1.195870e+01
1.520000e-06	-3.466640e-03	-1.206446e+01
1.530000e-06	-3.981192e-03	-1.215810e+01
1.540000e-06	1.574965e-03	-1.224025e+01
1.550000e-06	4.963061e-04	-1.231857e+01
1.560000e-06	-1.411150e-02	-1.237025e+01
1.570000e-06	-1.590105e-02	-1.244449e+01
1.580000e-06	5.680957e-03	-1.251909e+01
1.590000e-06	-7.438616e-03	-1.259183e+01
1.600000e-06	-8.846674e-03	-1.263294e+01
1.610000e-06	3.227885e-03	-1.268502e+01
1.620000e-06	-4.713135e-03	-1.275018e+01
1.630000e-06	-1.188000e-02	-1.278226e+01
1.640000e-06	-9.738111e-03	-1.281278e+01
1.650000e-06	-2.674839e-03	-1.286479e+01
1.660000e-06	-4.437388e-03	-1.289501e+01
1.670000e-06	-1.066633e-02	-1.288749e+01
1.680000e-06	-2.987003e-03	-1.288707e+01
1.690000e-06	-6.907779e-03	-1.291665e+01
1.700000e-06	-1.074459e-02	-1.291712e+01
1.710000e-06	-4.729464e-03	-1.292864e+01
1.720000e-06	-9.548787e-03	-1.293912e+01
1.730000e-06	-9.390045e-03	-1.294757e+01
1.740000e-06	-9.822709e-03	-1.292899e+01
1.750000e-06	-6.757618e-03	-1.285654e+01
1.760000e-06	-7.933847e-03	-1.285642e+01
1.770000e-06	-1.177915e-02	-1.283539e+01
1.780000e-06	-7.333550e-03	-1.281178e+01
1.790000e-06	-1.047286e-02	-1.273868e+01
1.800000e-06	-1.084863e-02	-1.270658e+01
1.810000e-06	-9.660182e-03	-1.263656e+01
1.820000e-06	-8.838892e-03	-1.259336e+01
1.830000e-06	-7.275555e-03	-1.254170e+01
