# Configuracion:
# Concentracion g/m^3_=_1000.0
# C_Vs_to_Am_M_A/Vsm_=_25649819763.59163
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_ref_Hz_=_309317.1130362907
# 
Resultados:
# tau_s_=_(2.36+/-0.36)e+01
# dphi_rad_=_6.33+/-0.01
# SAR_W/g_=_275.80+/-41.94
# Hc_kA/m_=_2.06+/-0.14
# Mr_A/m_=_7.08+/-0.47
# Suceptibilidad_a_M=0_=_0.0034+/-0.0001
Nombre_archivo	Time_m_(s)	Temperatura_(ºC)	Mr_(A/m)	Hc_(kA/m)	Campo_max_(A/m)	Mag_max_(A/m)	f0	mag0	dphi0	SAR_(W/g)	Tau_(ns)	N	xi_M_0
300kHz_150dA_100Mss_bobN5LB100OH0008.txt		20.00	7.14	2.10	57041.50	76.95	3.093239e+05	1.519893e+01	6.326834e+00	269.41	22.473349	4526	3.369e-03
300kHz_150dA_100Mss_bobN5LB100OH0009.txt		20.00	8.60	2.43	57041.50	81.01	3.093239e+05	1.594511e+01	6.346083e+00	407.14	32.405579	4526	3.513e-03
300kHz_150dA_100Mss_bobN5LB100OH0010.txt		20.00	7.04	1.96	57041.50	82.40	3.093239e+05	1.623867e+01	6.328725e+00	300.31	23.447960	4526	3.576e-03
300kHz_150dA_100Mss_bobN5LB100OH0012.txt		20.00	6.91	1.96	57041.50	78.74	3.093239e+05	1.555231e+01	6.329351e+00	291.56	23.770554	4526	3.511e-03
300kHz_150dA_100Mss_bobN5LB100OH0013.txt		20.00	6.85	1.93	57041.50	81.24	3.093239e+05	1.594364e+01	6.322170e+00	252.43	20.069221	4526	3.539e-03
300kHz_150dA_100Mss_bobN5LB100OH0014.txt		20.00	7.25	2.06	57041.50	78.93	3.093239e+05	1.558481e+01	6.328359e+00	285.90	23.258950	4526	3.502e-03
300kHz_150dA_100Mss_bobN5LB100OH0015.txt		20.00	6.84	2.10	57041.50	67.62	3.093239e+05	1.364849e+01	6.329024e+00	254.06	23.602226	4526	3.246e-03
300kHz_150dA_100Mss_bobN5LB100OH0016.txt		20.00	6.73	2.00	57041.50	71.61	3.093239e+05	1.432545e+01	6.324036e+00	237.66	21.030508	4526	3.356e-03
300kHz_150dA_100Mss_bobN5LB100OH0017.txt		20.00	7.14	2.05	57041.50	76.53	3.093239e+05	1.521001e+01	6.331384e+00	297.69	24.819072	4526	3.466e-03
300kHz_150dA_100Mss_bobN5LB100OH0018.txt		20.00	6.77	2.02	57041.50	69.79	3.093239e+05	1.402081e+01	6.326075e+00	244.21	22.081641	4526	3.335e-03
300kHz_150dA_100Mss_bobN5LB100OH0019.txt		20.00	7.06	2.01	57041.50	76.96	3.093239e+05	1.517290e+01	6.325208e+00	258.94	21.634706	4526	3.492e-03
300kHz_150dA_100Mss_bobN5LB100OH0020.txt		20.00	6.85	2.01	57041.50	74.19	3.093239e+05	1.481092e+01	6.327427e+00	266.10	22.778608	4526	3.391e-03
300kHz_150dA_100Mss_bobN5LB100OH0021.txt		20.00	6.80	1.96	57041.50	78.03	3.093239e+05	1.542630e+01	6.319055e+00	224.73	18.463828	4526	3.459e-03
300kHz_150dA_100Mss_bobN5LB100OH0022.txt		20.00	7.72	2.17	57041.50	80.77	3.093239e+05	1.595701e+01	6.333220e+00	324.20	25.765650	4526	3.544e-03
300kHz_150dA_100Mss_bobN5LB100OH0023.txt		20.00	7.13	2.04	57041.50	78.98	3.093239e+05	1.567633e+01	6.330049e+00	298.33	24.130442	4526	3.473e-03
300kHz_150dA_100Mss_bobN5LB100OH0024.txt		20.00	6.54	1.88	57041.50	77.06	3.093239e+05	1.521632e+01	6.323617e+00	249.85	20.814532	4526	3.458e-03
300kHz_150dA_100Mss_bobN5LB100OH0025.txt		20.00	7.33	2.16	57041.50	71.22	3.093239e+05	1.429258e+01	6.341105e+00	336.10	29.834894	4526	3.378e-03
300kHz_150dA_100Mss_bobN5LB100OH0026.txt		20.00	6.51	1.91	57041.50	72.84	3.093239e+05	1.444845e+01	6.319016e+00	210.26	18.444035	4526	3.390e-03
300kHz_150dA_100Mss_bobN5LB100OH0027.txt		20.00	7.30	2.11	57041.50	75.49	3.093239e+05	1.502008e+01	6.330519e+00	288.70	24.372877	4526	3.447e-03
300kHz_150dA_100Mss_bobN5LB100OH0028.txt		20.00	7.16	2.11	57041.50	72.33	3.093239e+05	1.444489e+01	6.330155e+00	275.51	24.185439	4526	3.376e-03
300kHz_150dA_100Mss_bobN5LB100OH0029.txt		20.00	7.31	2.18	57041.50	68.08	3.093239e+05	1.368591e+01	6.335950e+00	293.22	27.174886	4526	3.328e-03
300kHz_150dA_100Mss_bobN5LB100OH0030.txt		20.00	6.93	2.03	57041.50	73.35	3.093239e+05	1.460434e+01	6.326271e+00	255.53	22.182763	4526	3.390e-03
300kHz_150dA_100Mss_bobN5LB100OH0031.txt		20.00	6.38	1.89	57041.50	71.77	3.093239e+05	1.432211e+01	6.321803e+00	224.63	19.880464	4526	3.362e-03
300kHz_150dA_100Mss_bobN5LB100OH0032.txt		20.00	7.90	2.39	57041.50	67.88	3.093239e+05	1.345685e+01	6.345497e+00	340.41	32.103340	4526	3.266e-03
300kHz_150dA_100Mss_bobN5LB100OH0033.txt		20.00	6.05	1.84	57041.50	69.54	3.093239e+05	1.387781e+01	6.318411e+00	198.54	18.132526	4526	3.286e-03
300kHz_150dA_100Mss_bobN5LB100OH0034.txt		20.00	7.21	2.15	57041.50	71.59	3.093239e+05	1.436789e+01	6.331004e+00	279.00	24.623744	4526	3.330e-03
300kHz_150dA_100Mss_bobN5LB100OH0035.txt		20.00	7.13	2.00	57041.50	82.54	3.093239e+05	1.625590e+01	6.321997e+00	256.23	19.980163	4526	3.546e-03
300kHz_150dA_100Mss_bobN5LB100OH0036.txt		20.00	7.38	2.16	57041.50	74.01	3.093239e+05	1.477520e+01	6.331304e+00	288.70	24.778129	4526	3.405e-03
300kHz_150dA_100Mss_bobN5LB100OH0037.txt		20.00	7.29	2.21	57041.50	67.82	3.093239e+05	1.364400e+01	6.335307e+00	288.76	26.843306	4526	3.287e-03
